
╭────────┬─────────┬────────────────┬────────────────────────────┬────────────────────────────┬──────────────┬─────────────╮
│   id   │ country │     state      │            city            │           native           │     lon      │     lat     │
╞════════╪═════════╪════════════════╪════════════════════════════╪════════════════════════════╪══════════════╪═════════════╡
│  19656 │ China   │ Anhui          │ Huangshan                  │ 黄山                       │  118.3324811 │  29.7172627 │
│ 157201 │ China   │ Anhui          │ Huangshan                  │ 黄山                       │   117.762732 │  30.2546454 │
│ 157185 │ China   │ Anhui          │ Suixi                      │ 遂溪                       │   116.354116 │  33.6271576 │
│ 157329 │ China   │ Anhui          │ Suixi                      │ 遂溪                       │  116.7640522 │  33.9166455 │
│ 157298 │ China   │ Fujian         │ Changtai                   │ 昌泰                       │  117.6208562 │  24.7302916 │
│ 157332 │ China   │ Fujian         │ Changtai                   │ 昌泰                       │  117.8202813 │  24.7254693 │
│ 157270 │ China   │ Fujian         │ Licheng                    │ 李城                       │  118.5228122 │  25.4235892 │
│ 157284 │ China   │ Fujian         │ Licheng                    │ 李城                       │  118.5120204 │   24.906177 │
│ 157297 │ China   │ Fujian         │ Longhai                    │ 龙海                       │  117.5395942 │  24.3469344 │
│ 157333 │ China   │ Fujian         │ Longhai                    │ 龙海                       │  117.8132438 │  24.4490237 │
│  19546 │ China   │ Guangdong      │ Gaoyao                     │ 高要                       │    112.44555 │    23.02432 │
│ 157490 │ China   │ Guangdong      │ Gaoyao                     │ 高要                       │   112.452589 │  23.0279783 │
│  19550 │ China   │ Guangdong      │ Gaozhou                    │ 高州                       │    110.84607 │    21.93924 │
│ 157485 │ China   │ Guangdong      │ Gaozhou                    │ 高                         │  110.9644447 │  22.0461477 │
│  19669 │ China   │ Guangdong      │ Huazhou                    │ 化州                       │    110.58333 │    21.63333 │
│ 157486 │ China   │ Guangdong      │ Huazhou                    │ 化                         │  110.5300134 │  21.8302699 │
│  19672 │ China   │ Guangdong      │ Huicheng                   │ 汇成                       │    116.28988 │    23.03845 │
│ 157496 │ China   │ Guangdong      │ Huicheng                   │ 汇成                       │  114.4895969 │  23.1509763 │
│  19821 │ China   │ Guangdong      │ Lianjiang                  │ 廉江                       │    110.28172 │    21.64673 │
│ 157480 │ China   │ Guangdong      │ Lianjiang                  │ 廉江                       │   110.148109 │  21.6567913 │
│  19826 │ China   │ Guangdong      │ Lianzhou                   │ 连州                       │     112.3712 │    24.78186 │
│ 157530 │ China   │ Guangdong      │ Lianzhou                   │ 连                         │  112.4818454 │  24.9377373 │
│  19982 │ China   │ Guangdong      │ Pingshan                   │ 坪山                       │    114.71311 │    22.99376 │
│ 157450 │ China   │ Guangdong      │ Pingshan                   │ 平山                       │  114.3461882 │  22.7113827 │
│  19996 │ China   │ Guangdong      │ Puning                     │ 普宁                       │    116.16869 │    23.31072 │
│ 157548 │ China   │ Guangdong      │ Puning                     │ 普宁                       │   116.160937 │  23.3000453 │
│  20057 │ China   │ Guangdong      │ Sanshui                    │ 三水                       │    112.89161 │    23.15486 │
│ 157465 │ China   │ Guangdong      │ Sanshui                    │ 三水                       │  112.8848344 │  23.1719966 │
│  20108 │ China   │ Guangdong      │ Shixing                    │ 始兴                       │    114.06572 │    24.94824 │
│ 157436 │ China   │ Guangdong      │ Shixing                    │ 始兴                       │  114.0566468 │  24.9563552 │
│  20160 │ China   │ Guangdong      │ Taishan                    │ 泰山                       │     112.7799 │    22.25135 │
│ 157470 │ China   │ Guangdong      │ Taishan                    │ 泰山                       │  112.7128587 │  22.0638475 │
│  20230 │ China   │ Guangdong      │ Wuchuan                    │ 吴川                       │    110.76591 │    21.45713 │
│ 157482 │ China   │ Guangdong      │ Wuchuan                    │ 吴川                       │  110.6942289 │  21.4413258 │
